feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,display_name,metric,region,consensus_layer,subject_votes_for_consensus,n_subjects,mean_nsd_test_score_for_consensus_layer,mean_nsd_test_score_across_subject_train_selected_layers,selected_layers_by_subject
RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER-INFT,srpr,OTC,Conv2d-96,3,4,0.37628162484238836,0.3843799741458017,1:Conv2d-96;2:Conv2d-80;5:Conv2d-96;7:Conv2d-96
RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT_seer,RegNet-32Gf-SEER-INFT,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER-INFT,wrsa,OTC,Conv2d-80,2,4,0.7085699825144575,0.6979477670503156,1:Conv2d-80;2:Conv2d-80;5:AdaptiveAvgPool2d-19;7:Conv2d-90
RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER,crsa,OTC,AdaptiveAvgPool2d-23,2,4,0.368536695639586,0.352421395952412,1:Conv2d-96;2:AdaptiveAvgPool2d-23;5:AdaptiveAvgPool2d-23;7:BatchNorm2d-67
RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER,srpr,OTC,Conv2d-96,3,4,0.3735631314563803,0.386614578406024,1:Conv2d-96;2:Conv2d-96;5:AdaptiveAvgPool2d-23;7:Conv2d-96
RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER_seer,RegNet-32Gf-SEER,seer,random1B,RegNet-32Gf,Convolutional,RegNet-32Gf-SEER,wrsa,OTC,AdaptiveAvgPool2d-23,3,4,0.7015447365905473,0.7045360605757596,1:AdaptiveAvgPool2d-23;2:Conv2d-96;5:AdaptiveAvgPool2d-23;7:AdaptiveAvgPool2d-23
RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER-INFT,crsa,OTC,Conv2d-66,2,4,0.335323368208214,0.33250550984887,1:ReLU-74;2:Conv2d-66;5:Conv2d-66;7:BatchNorm2d-35
RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER-INFT,srpr,OTC,BatchNorm2d-53,2,4,0.382135089413964,0.38062047170382574,1:BatchNorm2d-53;2:BatchNorm2d-53;5:AdaptiveAvgPool2d-17;7:Conv2d-75
RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER-INFT,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER-INFT,wrsa,OTC,AdaptiveAvgPool2d-17,1,4,0.760886343755326,0.6974512460340982,1:Conv2d-96;2:BatchNorm2d-53;5:AdaptiveAvgPool2d-17;7:AdaptiveAvgPool2d-19
RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER,crsa,OTC,BatchNorm2d-67,2,4,0.3574189454793675,0.35123101888529074,1:AdaptiveAvgPool2d-23;2:AdaptiveAvgPool2d-23;5:BatchNorm2d-67;7:BatchNorm2d-67
RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER,srpr,OTC,Conv2d-96,3,4,0.3773821020016774,0.3891835803893825,1:Conv2d-96;2:Conv2d-96;5:AdaptiveAvgPool2d-19;7:Conv2d-96
RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER_seer,RegNet-64Gf-SEER,seer,random1B,RegNet-64Gf,Convolutional,RegNet-64Gf-SEER,wrsa,OTC,BatchNorm2d-67,2,4,0.7079479651260769,0.7119550477767257,1:AdaptiveAvgPool2d-23;2:Conv2d-96;5:BatchNorm2d-67;7:BatchNorm2d-67
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-BarlowTwins-BS2048,crsa,OTC,Conv2d-49,4,4,0.3670479981776602,0.3670479981776602,1:Conv2d-49;2:Conv2d-49;5:Conv2d-49;7:Conv2d-49
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-BarlowTwins-BS2048,srpr,OTC,BatchNorm2d-49,2,4,0.3700361529528665,0.3767525695296193,1:Conv2d-52;2:BatchNorm2d-49;5:Conv2d-49;7:BatchNorm2d-49
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-BarlowTwins-BS2048,wrsa,OTC,Conv2d-52,3,4,0.6604214977720446,0.6791544687008293,1:Conv2d-52;2:Conv2d-52;5:AdaptiveAvgPool2d-1;7:Conv2d-52
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-ClusterFit-16K-RotNet,crsa,OTC,Conv2d-52,4,4,0.32624946982985675,0.32624946982985675,1:Conv2d-52;2:Conv2d-52;5:Conv2d-52;7:Conv2d-52
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-ClusterFit-16K-RotNet,srpr,OTC,Conv2d-52,2,4,0.35323382222245103,0.3550584041231328,1:Conv2d-51;2:BatchNorm2d-49;5:Conv2d-52;7:Conv2d-52
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,ResNet50-ClusterFit-16K-RotNet,wrsa,OTC,Conv2d-51,2,4,0.6247985621765345,0.6302817495822373,1:Conv2d-51;2:Conv2d-51;5:AdaptiveAvgPool2d-1;7:BatchNorm2d-51
