source_order,feature_stem,feature_file,result_model,feature_exists,in_manifest,status,deepnsd_model_string,model_display_name,model_class,architecture,train_type,train_data,compare_architecture,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_selfsupervised,compare_goal_contrastive,compare_goal_slip,compare_diet_imagenetsize,compare_diet_ipcl,needed_for,all_deepnsd_model_strings
194,ViT-S-SimCLR_slip,ViT-S-SimCLR_slip.h5,ViT/S/SimCLR_slip,True,True,included,ViT-S-SimCLR_slip,ViT-S-SimCLR,Transformer,ViT-S,slip,YFCC15M,,,,,,SimCLR,,,fig3_slip,ViT-S-SimCLR_slip
195,ViT-S-CLIP_slip,ViT-S-CLIP_slip.h5,ViT/S/CLIP_slip,True,True,included,ViT-S-CLIP_slip,ViT-S-CLIP,Transformer,ViT-S,slip,YFCC15M,,,,,,CLIP,,,fig3_slip,ViT-S-CLIP_slip
196,ViT-S-SLIP_slip,ViT-S-SLIP_slip.h5,ViT/S/SLIP_slip,True,True,included,ViT-S-SLIP_slip,ViT-S-SLIP,Transformer,ViT-S,slip,YFCC15M,,,,,,SLIP,,,fig3_slip,ViT-S-SLIP_slip
197,ViT-B-SimCLR_slip,ViT-B-SimCLR_slip.h5,ViT/B/SimCLR_slip,True,True,included,ViT-B-SimCLR_slip,ViT-B-SimCLR,Transformer,ViT-B,slip,YFCC15M,,,,,,SimCLR,,,fig3_slip,ViT-B-SimCLR_slip
198,ViT-B-CLIP_slip,ViT-B-CLIP_slip.h5,ViT/B/CLIP_slip,True,True,included,ViT-B-CLIP_slip,ViT-B-CLIP,Transformer,ViT-B,slip,YFCC15M,,,,,,CLIP,,,fig3_slip,ViT-B-CLIP_slip
199,ViT-B-SLIP_slip,ViT-B-SLIP_slip.h5,ViT/B/SLIP_slip,True,True,included,ViT-B-SLIP_slip,ViT-B-SLIP,Transformer,ViT-B,slip,YFCC15M,,,,,,SLIP,,,fig3_slip,ViT-B-SLIP_slip
200,ViT-L-SimCLR_slip,ViT-L-SimCLR_slip.h5,ViT/L/SimCLR_slip,True,True,included,ViT-L-SimCLR_slip,ViT-L-SimCLR,Transformer,ViT-L,slip,YFCC15M,,,,,,SimCLR,,,fig3_slip,ViT-L-SimCLR_slip
201,ViT-L-CLIP_slip,ViT-L-CLIP_slip.h5,ViT/L/CLIP_slip,True,True,included,ViT-L-CLIP_slip,ViT-L-CLIP,Transformer,ViT-L,slip,YFCC15M,,,,,,CLIP,,,fig3_slip,ViT-L-CLIP_slip
202,ViT-L-SLIP_slip,ViT-L-SLIP_slip.h5,ViT/L/SLIP_slip,True,True,included,ViT-L-SLIP_slip,ViT-L-SLIP,Transformer,ViT-L,slip,YFCC15M,,,,,,SLIP,,,fig3_slip,ViT-L-SLIP_slip
70,mixer_b16_224_classification,mixer_b16_224_classification.h5,mixer_b16_224_classification,True,True,included,mixer_b16_224_classification,MLP-Mixer-B16,MLP-Mixer,mixer_b16_224,classification,imagenet,MLP-Mixer,,,,,,imagenet,,fig4_imagenet_size,mixer_b16_224_classification
71,mixer_l16_224_classification,mixer_l16_224_classification.h5,mixer_l16_224_classification,True,True,included,mixer_l16_224_classification,MLP-Mixer-L16,MLP-Mixer,mixer_l16_224,classification,imagenet,MLP-Mixer,,,,,,imagenet,,fig4_imagenet_size,mixer_l16_224_classification
84,resmlp_big_24_224_classification,resmlp_big_24_224_classification.h5,resmlp_big_24_224_classification,True,True,included,resmlp_big_24_224_classification,ResMLP-Big-24,MLP-Mixer,resmlp_big_24_224,classification,imagenet,MLP-Mixer,,,,,,imagenet,,fig4_imagenet_size,resmlp_big_24_224_classification
181,convnext_base_in22k_classification,convnext_base_in22k_classification.h5,convnext_base_in22k_classification,True,True,included,convnext_base_in22k_classification,ConvNext-Base-IN21K,Convolutional,convnext_base,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,convnext_base_in22k_classification
182,convnext_large_in22k_classification,convnext_large_in22k_classification.h5,convnext_large_in22k_classification,True,True,included,convnext_large_in22k_classification,ConvNext-Large-IN21K,Convolutional,convnext_large,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,convnext_large_in22k_classification
183,mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification.h5,mixer_b16_224_in21k_classification,True,True,included,mixer_b16_224_in21k_classification,Mixer-B16-IN22K,MLP-Mixer,mixer_b16_224,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,mixer_b16_224_in21k_classification
184,mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification.h5,mixer_l16_224_in21k_classification,True,True,included,mixer_l16_224_in21k_classification,Mixer-L16-IN22K,MLP-Mixer,mixer_l16_224,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,mixer_l16_224_in21k_classification
185,swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification.h5,swin_base_patch4_window7_224_in22k_classification,True,True,included,swin_base_patch4_window7_224_in22k_classification,Swin-B-P4-W7-IN21K,Transformer,swin_base_patch4_window7_224,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,swin_base_patch4_window7_224_in22k_classification
186,swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification.h5,swin_large_patch4_window7_224_in22k_classification,True,True,included,swin_large_patch4_window7_224_in22k_classification,Swin-L-P4-W7-IN21K,Transformer,swin_large_patch4_window7_224,classification,imagenet21k,,,,,,,imagenet21k,,fig4_imagenet_size,swin_large_patch4_window7_224_in22k_classification
