combo,pool_plot,split,eval_type,n,n_subjects,n_models,mean,median,min,max
subject_cluster_k5_1,subject,cluster_k5_1,srpr,234,2,117,0.2972853058879198,0.3241042659313891,0.0939169027977297,0.3874968883549611
subject_cluster_k5_1,subject,cluster_k5_1,wrsa,234,2,117,0.3644894181042273,0.3963408917188644,-0.0192933641374111,0.5554530620574951
subject_cluster_k5_2,subject,cluster_k5_2,crsa,234,2,117,0.16658746177314693,0.1631686314940452,-0.0225547775626182,0.3329457342624664
subject_cluster_k5_2,subject,cluster_k5_2,srpr,234,2,117,0.31615946313880067,0.3377351322784786,0.1030195666136196,0.4009094462327233
subject_cluster_k5_2,subject,cluster_k5_2,wrsa,234,2,117,0.39870496509739983,0.4218475222587585,-0.0041644778102636,0.5691506266593933
subject_cluster_k5_3,subject,cluster_k5_3,crsa,234,2,117,0.1967132353466641,0.2030231952667236,-0.0322183296084404,0.367654412984848
subject_cluster_k5_3,subject,cluster_k5_3,srpr,234,2,117,0.3078820860619162,0.33911837082318047,0.0867824776985226,0.3767240618724471
subject_cluster_k5_3,subject,cluster_k5_3,wrsa,234,2,117,0.4031299203236261,0.43721611797809595,0.0118328239768743,0.5310385227203369
subject_cluster_k5_4,subject,cluster_k5_4,crsa,234,2,117,0.16605118392871168,0.17043223977088925,-0.0426398329436779,0.3542293012142181
subject_cluster_k5_4,subject,cluster_k5_4,srpr,234,2,117,0.2810957375468716,0.30967862560832893,0.096491319012975,0.3483997818373617
subject_cluster_k5_4,subject,cluster_k5_4,wrsa,234,2,117,0.3628873911320081,0.39708268642425537,-0.0204612985253334,0.494999498128891
subject_cluster_k5_agg,subject,cluster_k5_agg,crsa,234,2,117,0.18347551173174306,0.1833182349801063,0.0048138509038835,0.3420799076557159
subject_cluster_k5_agg,subject,cluster_k5_agg,srpr,234,2,117,0.29933957388173243,0.3268052354656227,0.095328406734896,0.3762519926262117
subject_cluster_k5_agg,subject,cluster_k5_agg,wrsa,234,2,117,0.3822010175462287,0.41862100660800927,-0.0006839945912361,0.5220395743846893
subject_ood,subject,ood,crsa,234,2,117,0.11649142326757263,0.1017738506197929,-0.1702153086662292,0.5266377925872803
subject_ood,subject,ood,srpr,234,2,117,0.3450390814423693,0.36152203639483427,-0.0298448615506896,0.4325389225882478
subject_ood,subject,ood,wrsa,234,2,117,0.2989724797025546,0.3020533621311188,-0.0125027634203433,0.5531144738197327
subject_random_0,subject,random_0,crsa,234,2,117,0.1945463050650353,0.18802144378423685,0.0165816992521286,0.3717244565486908
subject_random_0,subject,random_0,srpr,234,2,117,0.371361261801624,0.39576071988698536,0.1439027300657742,0.4498955699589239
subject_random_0,subject,random_0,wrsa,234,2,117,0.48187285321008444,0.5217283368110657,0.0071531012654304,0.645926296710968
subject_random_1,subject,random_1,crsa,234,2,117,0.17981631555554703,0.1777088344097137,0.0119975600391626,0.329055517911911
subject_random_1,subject,random_1,srpr,234,2,117,0.3676288555859828,0.3915902657240168,0.1373333789825097,0.4492784595747597
subject_random_1,subject,random_1,wrsa,234,2,117,0.4633489324647583,0.5083858966827393,-0.0151720391586422,0.6204938292503357
subject_random_2,subject,random_2,crsa,234,2,117,0.1928104595798585,0.1956781446933746,0.018807265907526,0.3586477637290954
subject_random_2,subject,random_2,srpr,234,2,117,0.37194932620709076,0.39540410590534675,0.1466804628747266,0.4512419446631447
subject_random_2,subject,random_2,wrsa,234,2,117,0.464419396321536,0.5024195909500122,0.004618305247277,0.6388839483261108
subject_random_3,subject,random_3,crsa,234,2,117,0.1837498808486594,0.1844436526298523,0.0103892460465431,0.3495174050331116
subject_random_3,subject,random_3,srpr,234,2,117,0.36543634760933896,0.39244960556257946,0.1347349995894604,0.4474295564190701
subject_random_3,subject,random_3,wrsa,234,2,117,0.45704471463990265,0.5001656264066696,0.0256272125989198,0.6096348166465759
subject_random_4,subject,random_4,crsa,234,2,117,0.19011602978198192,0.1898248791694641,0.0161850284785032,0.3628115952014923
subject_random_4,subject,random_4,srpr,234,2,117,0.37230326753397863,0.3992172545809757,0.1438312267647228,0.4494161400294857
subject_random_4,subject,random_4,wrsa,234,2,117,0.46584898855539164,0.5004917830228806,-0.0184694584459066,0.6379525065422058
subject_random_agg,subject,random_agg,crsa,234,2,117,0.18884217470056477,0.1864091277122497,0.0174952011555433,0.3462533056735992
subject_random_agg,subject,random_agg,srpr,234,2,117,0.3699047900528278,0.3954238862831915,0.1418594427168608,0.4492192166673276
subject_random_agg,subject,random_agg,wrsa,234,2,117,0.4667250744422349,0.5095187216997146,0.0055566030787304,0.6249256491661072
subject_tau,subject,tau,crsa,234,2,117,0.1862538922816897,0.18461517989635465,0.0155005902051925,0.3303982019424438
subject_tau,subject,tau,srpr,234,2,117,0.36959852989839254,0.3958896302719622,0.1416594899519773,0.4459186287670382
subject_tau,subject,tau,wrsa,234,2,117,0.46070116233781105,0.5014824867248535,-0.0209064707159996,0.6317012310028076
