subject,model,eval_type,region,model_layer,model_layer_index,score,train_score,max_model_layer_index,selected_layer_fraction,model_source,comparison_group,result_model,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
sub-06,vit_small_patch32_224_classification,wrsa,otc,GELU-10,41,0.4293864369392395,0.3135769069194793,68,0.6029411764705882,timm,input_in1k_vs_in21k,vit_small_patch32_224_classification,vit_small_patch32_224,vit_small_patch32_224_classification,ViT-S-P32,classification,imagenet,vit_small_patch32_224,Transformer,Semantic,Transformer,,,,,,,,imagenet
sub-06,vit_small_patch32_224_in21k_classification,crsa,otc,Linear-26,5,0.0933310687541961,0.2401557564735412,68,0.0735294117647058,timm,input_in1k_vs_in21k,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k,vit_small_patch32_224_in21k_classification,ViT-S-P32-IN21K,classification,imagenet21k,vit_small_patch32_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_small_patch32_224_in21k_classification,wrsa,otc,GELU-10,41,0.41269451379776,0.3035873174667358,68,0.6029411764705882,timm,input_in1k_vs_in21k,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k,vit_small_patch32_224_in21k_classification,ViT-S-P32-IN21K,classification,imagenet21k,vit_small_patch32_224,Transformer,Semantic,,,,,,,,,imagenet21k
sub-06,vit_tiny_patch16_224_classification,crsa,otc,Linear-49,68,0.1402986049652099,0.2342202961444854,68,1.0,timm,arch_transformer_in1k,vit_tiny_patch16_224_classification,vit_tiny_patch16_224,vit_tiny_patch16_224_classification,ViT-T-P16,classification,imagenet,vit_tiny_patch16_224,Transformer,Semantic,Transformer,,,,,,,,
sub-06,vit_tiny_patch16_224_classification,wrsa,otc,GELU-8,19,0.4414710700511932,0.2743999063968658,68,0.2794117647058823,timm,arch_transformer_in1k,vit_tiny_patch16_224_classification,vit_tiny_patch16_224,vit_tiny_patch16_224_classification,ViT-T-P16,classification,imagenet,vit_tiny_patch16_224,Transformer,Semantic,Transformer,,,,,,,,
sub-06,xception_classification,crsa,otc,BatchNorm2d-24,13,0.2523682117462158,0.3676975965499878,83,0.1566265060240964,timm,arch_cnn_in1k,xception_classification,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,,
sub-06,xception_classification,wrsa,otc,Conv2d-90,54,0.4902022182941437,0.2947741150856018,83,0.6506024096385542,timm,arch_cnn_in1k,xception_classification,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,,
sub-06,xcit_nano_12_p16_224_classification,crsa,otc,Dropout-30,14,0.1302742213010788,0.2394690960645675,128,0.109375,timm,arch_transformer_in1k,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224,xcit_nano_12_p16_224_classification,XCIT-N-12-P16,classification,imagenet,xcit_nano_12_p16_224,Transformer,Semantic,Transformer,,,,,,,,
sub-06,xcit_nano_12_p8_224_classification,crsa,otc,Dropout-34,30,0.1587443798780441,0.2589899897575378,126,0.238095238095238,timm,arch_transformer_in1k,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224,xcit_nano_12_p8_224_classification,XCIT-N-12-P8,classification,imagenet,xcit_nano_12_p8_224,Transformer,Semantic,Transformer,,,,,,,,
sub-07,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,otc,ReLU-45,65,0.2353188246488571,0.3254012763500213,78,0.8333333333333334,,,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,BarlowTwins-BS2048,Contrastive,
sub-07,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,otc,Conv2d-52,72,0.5211064219474792,0.3925586938858032,78,0.9230769230769232,,,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,BarlowTwins-BS2048,Contrastive,
sub-07,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc,ReLU-49,77,0.1749704778194427,0.2145231515169143,78,0.9871794871794872,,,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,ClusterFit-16K-RotNet,Non-Contrastive,
sub-07,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc,Conv2d-51,69,0.4266130924224853,0.3535514771938324,78,0.8846153846153846,,,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,ClusterFit-16K-RotNet,Non-Contrastive,
