model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
mask_rcnn_R_50_C4_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_50_DC5_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_50_FPN_1x_segmentation,Convolutional,segmentation,LVIS,detectron,Detection|Segmentation,other
mask_rcnn_R_50_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_X_101_32x8d_FPN_1x_segmentation,Convolutional,segmentation,LVIS,detectron,Detection|Segmentation,other
mask_rcnn_X_101_32x8d_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mixer_b16_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mixer_b16_224_in21k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mixer_l16_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mixer_l16_224_in21k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mixnet_l_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mixnet_s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mnasnet0_5_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
mnasnet1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
mnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mobilenetv3_large_100_classification,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mobilenetv3_large_100_miil_in21k_classification,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mobilenetv3_rw_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mobilevit_s_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
nasnetalarge_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nf_resnet50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nfnet_l0_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nonfixated_pose_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
normal_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
openclip_coca_vit_b_32_laion2b_s13b_b90k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_coca_vit_l_14_laion2b_s13b_b90k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_base_laion400m_s13b_b51k,Convolutional,clip,laion400m,openclip,Vision-Language,other
openclip_convnext_base_w_laion2b_s13b_b82k,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_large_d_laion2b_s26b_b102k_augreg,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_xxlarge_laion2b_s34b_b82k_augreg,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_eva01_g_14_laion400m_s11b_b41k,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_eva01_g_14_plus_merged2b_s11b_b114k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_eva02_b_16_merged2b_s8b_b131k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_eva02_e_14_plus_laion2b_s9b_b144k,Transformer,clip,laion2b,openclip,Vision-Language,other
