split,family,effect,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
tau,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002",,,"-0.056 [-0.085, -0.028], p <0.001","-0.014 [-0.030, +0.002], p 0.088"
tau,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001",,,"-0.042 [-0.165, +0.080], p 0.468","-0.016 [-0.053, +0.021], p 0.377"
tau,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001",,,"-0.111 [-0.139, -0.083], p <0.001","-0.075 [-0.092, -0.059], p <0.001"
tau,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001",,,"-0.081 [-0.203, +0.042], p 0.177","-0.044 [-0.081, -0.007], p 0.022"
tau,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001",,,"+0.003 [-0.025, +0.031], p 0.828","-0.011 [-0.027, +0.006], p 0.184"
tau,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001",,,"-0.029 [-0.151, +0.093], p 0.616","-0.115 [-0.152, -0.078], p <0.001"
ood,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001",,,"-0.065 [-0.093, -0.038], p <0.001","-0.071 [-0.099, -0.044], p <0.001"
ood,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001",,,"+0.022 [+0.008, +0.036], p 0.002","+0.030 [+0.015, +0.045], p <0.001"
ood,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,,"+0.161 [+0.112, +0.210], p <0.001","+0.159 [+0.116, +0.202], p <0.001"
ood,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,,"+0.070 [+0.009, +0.131], p 0.025","+0.051 [-0.009, +0.110], p 0.093"
ood,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,,"-0.138 [-0.244, -0.032], p 0.012","-0.157 [-0.255, -0.059], p 0.002"
ood,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,,"+0.038 [+0.006, +0.069], p 0.019","+0.035 [+0.006, +0.065], p 0.021"
ood,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,,"+0.033 [-0.073, +0.139], p 0.530","-0.000 [-0.098, +0.098], p 0.997"
ood,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,,,"+0.007 [-0.024, +0.038], p 0.640","-0.020 [-0.050, +0.010], p 0.178"
ood,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957",,,"-0.018 [-0.044, +0.008], p 0.169","-0.041 [-0.067, -0.015], p 0.002"
ood,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147",,,"-0.018 [-0.034, -0.002], p 0.029","-0.029 [-0.047, -0.010], p 0.003"
ood,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002",,,"-0.015 [-0.108, +0.077], p 0.722","-0.015 [-0.106, +0.075], p 0.718"
ood,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001",,,"+0.021 [-0.056, +0.098], p 0.557","+0.055 [-0.029, +0.140], p 0.180"
ood,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001",,,"-0.045 [-0.137, +0.047], p 0.310","-0.049 [-0.139, +0.042], p 0.266"
ood,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001",,,"+0.012 [-0.065, +0.089], p 0.739","+0.077 [-0.008, +0.162], p 0.071"
ood,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001",,,"+0.207 [+0.115, +0.299], p <0.001","+0.211 [+0.121, +0.302], p <0.001"
ood,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001",,,"+0.196 [+0.119, +0.273], p <0.001","+0.198 [+0.113, +0.282], p <0.001"
