feature_stem,deepnsd_model_string,feature_file,h5_exists,metric,nsd_consensus_layer,present_in_current_sampled_laion_h5,n_current_sampled_layers,subject_votes_for_consensus,n_subjects
vit_base_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch16_224_classification.h5,True,crsa,LayerNorm-25,False,11,4,4
vit_base_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch16_224_classification.h5,True,srpr,LayerNorm-25,False,11,2,4
vit_base_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch16_224_classification.h5,True,wrsa,Identity-50,False,11,3,4
vit_base_patch32_224_classification,vit_base_patch32_224_classification,vit_base_patch32_224_classification.h5,True,crsa,LayerNorm-25,False,11,4,4
vit_base_patch32_224_classification,vit_base_patch32_224_classification,vit_base_patch32_224_classification.h5,True,srpr,LayerNorm-24,False,11,1,4
vit_base_patch32_224_classification,vit_base_patch32_224_classification,vit_base_patch32_224_classification.h5,True,wrsa,Linear-39,False,11,3,4
vit_small_patch32_224_classification,vit_small_patch32_224_classification,vit_small_patch32_224_classification.h5,True,crsa,LayerNorm-20,False,11,3,4
vit_small_patch32_224_classification,vit_small_patch32_224_classification,vit_small_patch32_224_classification.h5,True,srpr,LayerNorm-20,False,11,3,4
vit_small_patch32_224_classification,vit_small_patch32_224_classification,vit_small_patch32_224_classification.h5,True,wrsa,Linear-39,False,11,2,4
xception_classification,xception_classification,xception_classification.h5,True,crsa,BatchNorm2d-33,False,12,4,4
xception_classification,xception_classification,xception_classification.h5,True,srpr,Conv2d-79,False,12,2,4
xception_classification,xception_classification,xception_classification.h5,True,wrsa,Conv2d-87,False,12,1,4
xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification.h5,True,crsa,Dropout-42,False,11,2,4
xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification.h5,True,srpr,Dropout-34,False,11,2,4
xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification.h5,True,wrsa,Dropout-42,False,11,3,4
xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification.h5,True,crsa,Dropout-38,False,12,4,4
xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification.h5,True,srpr,Dropout-38,False,12,2,4
xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification.h5,True,wrsa,Dropout-38,False,12,4,4
autoencoding_taskonomy,autoencoding_taskonomy,autoencoding_taskonomy.h5,True,crsa,BatchNorm2d-28,False,11,2,4
autoencoding_taskonomy,autoencoding_taskonomy,autoencoding_taskonomy.h5,True,srpr,BatchNorm2d-28,False,11,3,4
autoencoding_taskonomy,autoencoding_taskonomy,autoencoding_taskonomy.h5,True,wrsa,ReLU-41,False,11,4,4
class_object_taskonomy,class_object_taskonomy,class_object_taskonomy.h5,True,crsa,BatchNorm2d-46,False,11,4,4
class_object_taskonomy,class_object_taskonomy,class_object_taskonomy.h5,True,srpr,Conv2d-45,False,11,2,4
class_object_taskonomy,class_object_taskonomy,class_object_taskonomy.h5,True,wrsa,ReLU-42,False,11,3,4
class_scene_taskonomy,class_scene_taskonomy,class_scene_taskonomy.h5,True,crsa,Conv2d-28,True,11,4,4
class_scene_taskonomy,class_scene_taskonomy,class_scene_taskonomy.h5,True,srpr,Conv2d-45,False,11,3,4
class_scene_taskonomy,class_scene_taskonomy,class_scene_taskonomy.h5,True,wrsa,BatchNorm2d-46,False,11,1,4
curvature_taskonomy,curvature_taskonomy,curvature_taskonomy.h5,True,crsa,BatchNorm2d-44,False,11,2,4
curvature_taskonomy,curvature_taskonomy,curvature_taskonomy.h5,True,srpr,Conv2d-28,True,11,2,4
curvature_taskonomy,curvature_taskonomy,curvature_taskonomy.h5,True,wrsa,ReLU-43,False,11,2,4
denoising_taskonomy,denoising_taskonomy,denoising_taskonomy.h5,True,crsa,BatchNorm2d-28,False,11,4,4
denoising_taskonomy,denoising_taskonomy,denoising_taskonomy.h5,True,srpr,ReLU-44,False,11,3,4
denoising_taskonomy,denoising_taskonomy,denoising_taskonomy.h5,True,wrsa,ReLU-44,False,11,4,4
depth_euclidean_taskonomy,depth_euclidean_taskonomy,depth_euclidean_taskonomy.h5,True,crsa,Conv2d-38,False,11,4,4
depth_euclidean_taskonomy,depth_euclidean_taskonomy,depth_euclidean_taskonomy.h5,True,srpr,BatchNorm2d-44,False,11,2,4
depth_euclidean_taskonomy,depth_euclidean_taskonomy,depth_euclidean_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,3,4
depth_zbuffer_taskonomy,depth_zbuffer_taskonomy,depth_zbuffer_taskonomy.h5,True,crsa,Conv2d-29,False,11,3,4
depth_zbuffer_taskonomy,depth_zbuffer_taskonomy,depth_zbuffer_taskonomy.h5,True,srpr,BatchNorm2d-41,True,11,3,4
depth_zbuffer_taskonomy,depth_zbuffer_taskonomy,depth_zbuffer_taskonomy.h5,True,wrsa,ReLU-43,False,11,2,4
edge_occlusion_taskonomy,edge_occlusion_taskonomy,edge_occlusion_taskonomy.h5,True,crsa,Conv2d-42,False,11,3,4
edge_occlusion_taskonomy,edge_occlusion_taskonomy,edge_occlusion_taskonomy.h5,True,srpr,Conv2d-41,False,11,1,4
edge_occlusion_taskonomy,edge_occlusion_taskonomy,edge_occlusion_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,2,4
edge_texture_taskonomy,edge_texture_taskonomy,edge_texture_taskonomy.h5,True,crsa,ReLU-41,False,11,3,4
edge_texture_taskonomy,edge_texture_taskonomy,edge_texture_taskonomy.h5,True,srpr,BatchNorm2d-39,False,11,2,4
edge_texture_taskonomy,edge_texture_taskonomy,edge_texture_taskonomy.h5,True,wrsa,BatchNorm2d-45,False,11,3,4
egomotion_taskonomy,egomotion_taskonomy,egomotion_taskonomy.h5,True,crsa,ReLU-27,True,11,2,4
egomotion_taskonomy,egomotion_taskonomy,egomotion_taskonomy.h5,True,srpr,Conv2d-44,True,11,2,4
egomotion_taskonomy,egomotion_taskonomy,egomotion_taskonomy.h5,True,wrsa,Conv2d-44,True,11,2,4
fixated_pose_taskonomy,fixated_pose_taskonomy,fixated_pose_taskonomy.h5,True,crsa,BatchNorm2d-30,False,11,4,4
fixated_pose_taskonomy,fixated_pose_taskonomy,fixated_pose_taskonomy.h5,True,srpr,Conv2d-29,False,11,2,4
fixated_pose_taskonomy,fixated_pose_taskonomy,fixated_pose_taskonomy.h5,True,wrsa,BatchNorm2d-29,False,11,3,4
inpainting_taskonomy,inpainting_taskonomy,inpainting_taskonomy.h5,True,crsa,BatchNorm2d-39,False,11,4,4
inpainting_taskonomy,inpainting_taskonomy,inpainting_taskonomy.h5,True,srpr,Conv2d-45,False,11,3,4
inpainting_taskonomy,inpainting_taskonomy,inpainting_taskonomy.h5,True,wrsa,Conv2d-45,False,11,1,4
jigsaw_taskonomy,jigsaw_taskonomy,jigsaw_taskonomy.h5,True,crsa,BatchNorm2d-45,False,11,3,4
jigsaw_taskonomy,jigsaw_taskonomy,jigsaw_taskonomy.h5,True,srpr,Conv2d-45,False,11,4,4
jigsaw_taskonomy,jigsaw_taskonomy,jigsaw_taskonomy.h5,True,wrsa,ReLU-40,False,11,1,4
keypoints2d_taskonomy,keypoints2d_taskonomy,keypoints2d_taskonomy.h5,True,crsa,BatchNorm2d-32,False,11,3,4
keypoints2d_taskonomy,keypoints2d_taskonomy,keypoints2d_taskonomy.h5,True,srpr,ReLU-38,False,11,1,4
keypoints2d_taskonomy,keypoints2d_taskonomy,keypoints2d_taskonomy.h5,True,wrsa,BatchNorm2d-45,False,11,4,4
